validation_sets,topics,alpha,beta,coherence
75% Corpus,5,0.41000000000000003,0.01,0.32831003591352753
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.31172249111367634
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.3068736092317256
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.2964080247981492
75% Corpus,5,0.41000000000000003,0.81,0.32204068321150686
75% Corpus,5,0.41000000000000003,symmetric,0.31555569140133344
75% Corpus,5,0.6100000000000001,0.01,0.317271445826838
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.27193523505488326
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.26990438680016543
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.2822543778636375
75% Corpus,5,0.6100000000000001,0.81,0.31156007211114306
75% Corpus,5,0.6100000000000001,symmetric,0.26749146619234176
75% Corpus,5,0.81,0.01,0.3222757712324321
75% Corpus,5,0.81,0.21000000000000002,0.29562277551168525
75% Corpus,5,0.81,0.41000000000000003,0.27618851985398246
75% Corpus,5,0.81,0.6100000000000001,0.29966066163827537
75% Corpus,5,0.81,0.81,0.3500084041811394
75% Corpus,5,0.81,symmetric,0.2976767572943141
75% Corpus,5,symmetric,0.01,0.3110285763321332
75% Corpus,5,symmetric,0.21000000000000002,0.3162547189222944
75% Corpus,5,symmetric,0.41000000000000003,0.30890812291003
75% Corpus,5,symmetric,0.6100000000000001,0.33759901289777794
75% Corpus,5,symmetric,0.81,0.3185977400862404
75% Corpus,5,symmetric,symmetric,0.3162547189222944
75% Corpus,5,asymmetric,0.01,0.3517199800189944
75% Corpus,5,asymmetric,0.21000000000000002,0.36558708204571455
75% Corpus,5,asymmetric,0.41000000000000003,0.353845071220697
75% Corpus,5,asymmetric,0.6100000000000001,0.36058576963734124
75% Corpus,5,asymmetric,0.81,0.3461193625073213
75% Corpus,5,asymmetric,symmetric,0.3637419728800443
100% Corpus,2,0.01,0.01,0.3413261112072872
100% Corpus,2,0.01,0.21000000000000002,0.3465439333409824
100% Corpus,2,0.01,0.41000000000000003,0.3465439333409824
100% Corpus,2,0.01,0.6100000000000001,0.3465439333409824
100% Corpus,2,0.01,0.81,0.31831644887914556
100% Corpus,2,0.01,symmetric,0.3465439333409824
100% Corpus,2,0.21000000000000002,0.01,0.373568332572606
100% Corpus,2,0.21000000000000002,0.21000000000000002,0.37273307087501295
100% Corpus,2,0.21000000000000002,0.41000000000000003,0.37692284659020847
100% Corpus,2,0.21000000000000002,0.6100000000000001,0.37692284659020847
100% Corpus,2,0.21000000000000002,0.81,0.37692284659020847
100% Corpus,2,0.21000000000000002,symmetric,0.37692284659020847
100% Corpus,2,0.41000000000000003,0.01,0.3701573650769439
100% Corpus,2,0.41000000000000003,0.21000000000000002,0.3820661681626285
100% Corpus,2,0.41000000000000003,0.41000000000000003,0.3837804583142348
100% Corpus,2,0.41000000000000003,0.6100000000000001,0.39305561933349653
100% Corpus,2,0.41000000000000003,0.81,0.39305561933349653
100% Corpus,2,0.41000000000000003,symmetric,0.35988144089052193
100% Corpus,2,0.6100000000000001,0.01,0.3516420901414205
100% Corpus,2,0.6100000000000001,0.21000000000000002,0.3820661681626285
100% Corpus,2,0.6100000000000001,0.41000000000000003,0.35372833589179487
100% Corpus,2,0.6100000000000001,0.6100000000000001,0.3717917198083549
100% Corpus,2,0.6100000000000001,0.81,0.348232161312961
100% Corpus,2,0.6100000000000001,symmetric,0.36265512077062345
100% Corpus,2,0.81,0.01,0.3512967732489169
100% Corpus,2,0.81,0.21000000000000002,0.36265512077062345
100% Corpus,2,0.81,0.41000000000000003,0.36265512077062345
100% Corpus,2,0.81,0.6100000000000001,0.36703203181646105
100% Corpus,2,0.81,0.81,0.3354004130270781
100% Corpus,2,0.81,symmetric,0.3783336221764201
100% Corpus,2,symmetric,0.01,0.3516420901414205
100% Corpus,2,symmetric,0.21000000000000002,0.3820661681626285
100% Corpus,2,symmetric,0.41000000000000003,0.36265512077062345
100% Corpus,2,symmetric,0.6100000000000001,0.3770890111984021
100% Corpus,2,symmetric,0.81,0.370332423495599
100% Corpus,2,symmetric,symmetric,0.35372833589179487
100% Corpus,2,asymmetric,0.01,0.35395877040578944
100% Corpus,2,asymmetric,0.21000000000000002,0.35503939062248635
100% Corpus,2,asymmetric,0.41000000000000003,0.3453861333759414
100% Corpus,2,asymmetric,0.6100000000000001,0.3315992205863249
100% Corpus,2,asymmetric,0.81,0.33159922058632485
100% Corpus,2,asymmetric,symmetric,0.3453861333759414
100% Corpus,3,0.01,0.01,0.31317660220561744
100% Corpus,3,0.01,0.21000000000000002,0.30199604625533255
100% Corpus,3,0.01,0.41000000000000003,0.3212828495518955
100% Corpus,3,0.01,0.6100000000000001,0.3163337375077233
100% Corpus,3,0.01,0.81,0.2736878056699101
100% Corpus,3,0.01,symmetric,0.318482523629488
100% Corpus,3,0.21000000000000002,0.01,0.32739085655316025
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.3058015962831068
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.31899318370413476
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.31899318370413476
100% Corpus,3,0.21000000000000002,0.81,0.3189931837041347
100% Corpus,3,0.21000000000000002,symmetric,0.31899318370413476
100% Corpus,3,0.41000000000000003,0.01,0.34567512433960146
